"player","season","Team","TOI_all","GAA_per_fenwick","FA","GAA","GAR","WAR"
"AARON.DELL","20162017","S.J",1110.52,0.01228,741,9.1,14.5,2.8
"AARON.DELL","20172018","S.J",1522.08,-0.00038,1050,-0.4,7.3,1.3
"AARON.DELL","20182019","S.J",1323.28,-0.01085,857,-9.3,-3,-0.5
"ADIN.HILL","20172018","ARI",240.76,-0.00714,182,-1.3,0,0
"ADIN.HILL","20182019","ARI",676.35,0.00177,451,0.8,4.1,0.7
"ALEXANDAR.GEORGIEV","20172018","NYR",514.76,-0.00069,436,-0.3,2.9,0.5
"ALEXANDAR.GEORGIEV","20182019","NYR",1869.17,0.00478,1465,7,17.7,3.1
"ALEX.AULD","20072008","ARI",508.96,-0.02485,342,-8.5,-6,-1.1
"ALEX.AULD","20072008","BOS",1172.68,0.00317,756,2.4,7.9,1.5
"ALEX.AULD","20082009","OTT",2329.28,0.00147,1500,2.2,13.2,2.4
"ALEX.AULD","20092010","DAL",1181.01,-0.01391,805,-11.2,-5.3,-1
"ALEX.AULD","20102011","MTL",748.57,0.00566,548,3.1,7.1,1.4
"ALEX.AULD","20112012","OTT",645.03,-0.01316,433,-5.7,-2.6,-0.5
"ALEX.LYON","20172018","PHI",479.8,-0.00365,329,-1.2,1.2,0.2
"ALEX.STALOCK","20132014","S.J",1251.3,0.00762,774,5.9,11.6,2.3
"ALEX.STALOCK","20142015","S.J",1236.5,-0.002,751,-1.5,4,0.8
"ALEX.STALOCK","20152016","S.J",674.14,-0.02207,376,-8.3,-5.6,-1.1
"ALEX.STALOCK","20172018","MIN",1495.26,-0.00602,1130,-6.8,1.5,0.3
"ALEX.STALOCK","20182019","MIN",1065.1,-0.00561,731,-4.1,1.2,0.2
"ALLEN.YORK","20112012","CBJ",416.7,-0.00489,266,-1.3,0.6,0.1
"AL.MONTOYA","20082009","ARI",259.47,0.00353,170,0.6,1.9,0.3
"AL.MONTOYA","20102011","NYI",1153.78,0.01522,841,12.8,19,3.6
"AL.MONTOYA","20112012","NYI",1719.71,-0.00396,1135,-4.5,3.8,0.7
"AL.MONTOYA","20122013","WPG",351.35,-0.01186,253,-3,-1.2,-0.2
"AL.MONTOYA","20132014","WPG",1540.85,0.0025,1000,2.5,9.8,1.9
"AL.MONTOYA","20142015","FLA",956.93,-0.00911,637,-5.8,-1.1,-0.2
"AL.MONTOYA","20152016","FLA",1351.24,0.00197,861,1.7,8,1.6
"AL.MONTOYA","20162017","MTL",1124.33,-0.00364,770,-2.8,2.8,0.5
"AL.MONTOYA","20172018","EDM",469.21,-0.00669,329,-2.2,0.2,0
"AL.MONTOYA","20172018","MTL",222.53,-0.02041,147,-3,-1.9,-0.3
"ANDERS.LINDBACK","20102011","NSH",1131.05,-0.00373,804,-3,2.8,0.5
"ANDERS.LINDBACK","20112012","NSH",792.42,0.00338,532,1.8,5.7,1.1
"ANDERS.LINDBACK","20122013","T.B",1304.19,-0.00809,915,-7.4,-0.7,-0.1
"ANDERS.LINDBACK","20132014","T.B",1302.31,-0.01045,852,-8.9,-2.6,-0.5
"ANDERS.LINDBACK","20142015","BUF",890.98,-0.00336,743,-2.5,2.9,0.6
"ANDERS.LINDBACK","20142015","DAL",516.98,-0.02791,344,-9.6,-7.1,-1.4
"ANDERS.LINDBACK","20152016","ARI",906.14,-0.01958,613,-12,-7.6,-1.5
"ANDERS.NILSSON","20112012","NYI",217.8,0.00816,147,1.2,2.3,0.5
"ANDERS.NILSSON","20132014","NYI",1096.17,-0.00177,793,-1.4,4.4,0.9
"ANDERS.NILSSON","20152016","EDM",1413.29,-0.00821,1035,-8.5,-0.9,-0.2
"ANDERS.NILSSON","20162017","BUF",1484.24,0.00989,1193,11.8,20.5,3.9
"ANDERS.NILSSON","20172018","VAN",1463.68,-0.00763,1154,-8.8,-0.3,-0.1
"ANDERS.NILSSON","20182019","OTT",1320.3,-0.00057,1044,-0.6,7.1,1.2
"ANDERS.NILSSON","20182019","VAN",697.93,-0.00455,483,-2.2,1.4,0.2
"ANDREI.VASILEVSKIY","20142015","T.B",864.12,-0.00474,570,-2.7,1.5,0.3
"ANDREI.VASILEVSKIY","20152016","T.B",1258.63,-0.01175,902,-10.6,-4,-0.8
"ANDREI.VASILEVSKIY","20162017","T.B",2831.09,-0.00485,1978,-9.6,4.9,0.9
"ANDREI.VASILEVSKIY","20172018","T.B",3825.19,-0.00341,2730,-9.3,10.6,1.9
"ANDREI.VASILEVSKIY","20182019","T.B",3203.75,0.00558,2294,12.8,29.6,5.2
"ANDREW.HAMMOND","20142015","OTT",1411,0.01364,968,13.2,20.3,4
"ANDREW.HAMMOND","20152016","OTT",1382.32,0.0002,988,0.2,7.4,1.5
"ANDREW.HAMMOND","20162017","OTT",189.38,-0.03621,116,-4.2,-3.4,-0.6
"ANDREW.RAYCROFT","20072008","TOR",944.7,-0.01127,692,-7.8,-2.8,-0.5
"ANDREW.RAYCROFT","20082009","COL",1656.1,-0.0138,1152,-15.9,-7.5,-1.4
"ANDREW.RAYCROFT","20092010","VAN",902.19,0.00017,572,0.1,4.3,0.8
"ANDREW.RAYCROFT","20102011","DAL",847.16,-0.00617,600,-3.7,0.7,0.1
